id,season,division,round,localTeam,visitorTeam,localGoals,visitorGoals,date,result,T1PliS,T1PviS,T2PliS,T2PviS,total_punts_loc,total_punts_vis,month,day_of_week,GoalsliS,GoalsviS,local_3streak,visitor_3streak,local_5streak,visitor_5streak,last_1ra_loc,last_1ra_vis,Rk_loc,Rk_vis,last_top6_loc,last_top6_vis
11786,1987-88,1,9,Cadiz,Las Palmas,2,0,1987-11-01,2,0.3333333333333333,0.75,0.5,0.08333333333333333,13.0,7.0,4,7,11.0,8.0,4.0,3.0,7.0,4.0,1,1,4.0,9.0,0,0
11787,1987-88,1,9,Logrones,Barcelona,0,1,1987-11-01,0,0.25,0.08333333333333333,0.08333333333333333,0.5,4.0,7.0,4,7,4.0,7.0,2.0,4.0,3.0,4.0,1,1,11.0,9.0,0,0
11788,1987-88,1,9,Mallorca,Murcia,3,3,1987-11-01,1,0.5833333333333334,0.16666666666666666,0.5,0.25,9.0,9.0,4,7,13.0,8.0,5.0,3.0,8.0,3.0,1,1,7.0,7.0,0,0
11789,1987-88,1,9,Sabadell,Real Sociedad,0,2,1987-11-01,0,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.5,5.0,11.0,4,7,3.0,13.0,0.0,7.0,2.0,10.0,1,1,10.0,6.0,0,0
11790,1987-88,1,9,Sevilla,Osasuna,0,2,1987-11-01,0,0.5,0.5,0.8333333333333334,0.16666666666666666,12.0,12.0,4,7,10.0,8.0,3.0,4.0,9.0,5.0,1,1,5.0,5.0,0,0
11791,1987-88,1,9,Valencia,Sporting de Gijon,1,1,1987-11-01,1,0.75,0.3333333333333333,0.5833333333333334,0.08333333333333333,13.0,8.0,4,7,9.0,7.0,0.0,3.0,6.0,7.0,1,1,4.0,8.0,0,0
11792,1987-88,1,10,Real Madrid,Atletico de Madrid,0,4,1987-11-07,0,1.0,0.8666666666666667,1.0,0.4166666666666667,25.0,20.0,4,6,32.0,12.0,7.0,7.0,13.0,13.0,1,1,1.0,2.0,0,0
11793,1987-88,1,10,Barcelona,Celta de Vigo,2,0,1987-11-08,2,0.08333333333333333,0.6,0.7333333333333333,0.4166666666666667,10.0,16.0,4,7,8.0,12.0,7.0,7.0,7.0,9.0,1,1,9.0,3.0,0,0
11794,1987-88,1,10,Betis,Cadiz,3,2,1987-11-08,2,0.6666666666666666,0.2,0.4666666666666667,0.75,11.0,16.0,4,7,13.0,13.0,1.0,4.0,4.0,7.0,1,1,8.0,3.0,0,0
11795,1987-88,1,10,Sporting de Gijon,Atletico de Bilbao,2,2,1987-11-08,1,0.5833333333333334,0.13333333333333333,0.6666666666666666,0.4166666666666667,9.0,15.0,4,7,8.0,9.0,1.0,1.0,5.0,7.0,1,1,10.0,4.0,0,0
